Id: CMSSW
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              000                    001                    002                    003        
Frame 0125    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0126    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0127    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0128    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0129    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0130    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0131    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0132    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0133    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0134    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0135    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0136    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0137    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0138    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0139    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0140    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0141    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0142    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0143    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0144    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0145    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0146    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0147    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0148    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0149    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0150    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0151    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0152    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0153    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0154    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0155    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0156    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0157    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0158    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0159    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0160    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0161    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0162    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0163    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0164    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0165    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0166    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0167    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0168    0001 deda737743cfaa1a  0001 0006e00004800222  0000 0000000000000000  0000 0000000000000000
Frame 0169    0001 e45078d0450821cf  0001 0003c00010900184  0000 0000000000000000  0000 0000000000000000
Frame 0170    0001 9c42fb0837c41a15  0001 0007c0000c8001c9  0000 0000000000000000  0000 0000000000000000
Frame 0171    0001 e07c12508d9c428e  0001 000360000fb0008e  0000 0000000000000000  0000 0000000000000000
Frame 0172    0001 9e910c2836001213  0001 0007e00020a002cc  0000 0000000000000000  0000 0000000000000000
Frame 0173    0001 8ec379480167fa52  0001 0006a00037400079  0000 0000000000000000  0000 0000000000000000
Frame 0174    0001 9ec515f0536c2af1  0001 0007a0000ea00109  0000 0000000000000000  0000 0000000000000000
Frame 0175    0001 ec068b201370081b  0001 0007e0001c3000e2  0000 0000000000000000  0000 0000000000000000
Frame 0176    0001 e063110fea0bf989  0001 0006c00022f000e5  0000 0000000000000000  0000 0000000000000000
Frame 0177    0001 982a9f47207397d1  0001 0006d00007600144  0000 0000000000000000  0000 0000000000000000
Frame 0178    0001 f8e664168c4348f9  0001 000780004a200150  0000 0000000000000000  0000 0000000000000000
Frame 0179    0001 98039126a4a35cc4  0001 0007e0000ef00197  0000 0000000000000000  0000 0000000000000000
Frame 0180    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0181    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0182    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0183    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0184    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0185    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0186    0001 0000000000000000  0001 0000000000000000  0000 0000000000000000  0000 0000000000000000
